#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
300240:6031,08/01/17 10:10:56,354,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.008970097,0.008216586
300280:6035,08/02/17 04:47:45,548,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.015601913,0.012866674
300281:6035,08/02/17 09:00:44,6,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.001624421,0.001496696
300282:6035,08/02/17 09:08:14,131,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.003484396,0.003081419
300283:6035,08/02/17 10:20:31,26,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.000816990,0.000727045
300284:6035,08/02/17 10:35:38,679,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.018235154,0.017196527
300364:6041,08/03/17 12:13:45,17,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.000516552,0.000362630
300372:6041,08/03/17 13:32:05,8,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.002388738,0.001983119
300375:6041,08/03/17 13:58:15,93,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.002611857,0.002433154
300389:6044,08/03/17 18:48:33,115,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.004636041,0.003358631
300399:6044,08/03/17 21:15:04,17,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.000463051,0.000384790
300400:6044,08/03/17 21:26:33,672,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.018741285,0.017409691
300401:6044,08/04/17 02:03:03,655,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.017462979,0.016489119
300459:6046,08/04/17 12:16:31,293,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.008396085,0.007409770
300461:6046,08/04/17 14:16:24,88,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.002376288,0.002157992
300462:6046,08/04/17 14:56:36,91,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.002554000,0.002312861
300463:6046,08/04/17 15:38:40,124,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.003320468,0.003079347
300464:6046,08/04/17 16:34:29,243,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.007006850,0.006247703
300466:6046,08/04/17 18:25:04,643,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.017559747,0.016387814
300467:6046,08/04/17 22:39:50,563,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.014824654,0.013979956
300497:6048,08/05/17 07:32:31,150,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.003763393,0.002886950
300514:6050,08/05/17 12:01:12,113,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.003081077,0.002274543
300515:6050,08/05/17 12:46:59,895,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.025542690,0.023652785
300516:6050,08/05/17 19:30:10,109,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.002933263,0.002450375
300517:6050,08/05/17 20:16:08,529,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.014496123,0.013735945
300558:6052,08/06/17 11:30:09,534,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.015395307,0.014314005
300560:6052,08/06/17 15:03:15,840,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.022755860,0.021437445
300574:6053,08/07/17 02:51:21,96,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.002751524,0.002192921
300575:6053,08/07/17 03:34:38,76,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.002193226,0.001141649
300576:6053,08/07/17 04:08:51,1199,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.033308735,0.031170348
300631:6054,08/07/17 15:33:51,159,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.004728077,0.003882440
300632:6054,08/07/17 16:47:35,20,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.000579054,0.000369555
300633:6054,08/07/17 16:58:51,447,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.012361054,0.011341449
300635:6054,08/07/17 20:07:40,174,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.004602960,0.004245647
300636:6054,08/07/17 21:23:44,1570,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.041333735,0.039062363
300673:6055,08/08/17 10:50:17,16,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.000496247,0.000459535
300674:6055,08/08/17 11:03:35,30,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.000890772,0.000714025
300675:6055,08/08/17 11:18:43,25,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.000749777,0.000263574
300676:6055,08/08/17 11:31:55,26,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.000763162,0.000662897
300742:6057,08/08/17 17:08:58,288,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.008803946,0.007634880
300777:6060,08/09/17 04:47:35,489,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.013687266,0.012146747
300780:6060,08/09/17 08:01:22,334,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.009203209,0.008428085
300785:6060,08/09/17 10:49:33,1252,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.032789599,0.030938123
300806:6061,08/09/17 21:47:20,179,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.004789720,0.003933029
300811:6061,08/09/17 23:03:45,500,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.014214946,0.012650602
300812:6061,08/10/17 02:25:24,58,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.001660561,0.001479789
300816:6061,08/10/17 02:54:46,150,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.004103432,0.003474027
300817:6061,08/10/17 03:55:18,460,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v6,0.012716687,0.011799898
301046:6072,08/12/17 01:36:15,62,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.001119953,0.001055556
301141:6082,08/14/17 12:14:40,7,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000081130,0.000078275
301142:6082,08/14/17 12:20:37,897,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.012282108,0.011877880
301161:6084,08/14/17 21:38:32,761,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.010624459,0.010137405
301165:6084,08/15/17 02:39:09,145,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.001962624,0.001933065
301179:6086,08/15/17 07:58:06,19,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000222791,0.000128016
