#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
299368:5962,07/18/17 16:09:23,131,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.004474282,0.003637241
299369:5962,07/18/17 17:05:01,302,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.009776681,0.008717739
299370:5962,07/18/17 19:39:20,666,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.021141470,0.019791597
299380:5963,07/19/17 02:35:27,191,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.006331881,0.005741324
299381:5963,07/19/17 04:00:43,45,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.001344684,0.001192854
299394:5965,07/19/17 07:30:38,22,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.000598858,0.000534490
299395:5965,07/19/17 07:42:23,182,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.006177957,0.004262054
299396:5965,07/19/17 08:55:05,81,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.002679549,0.001910945
299420:5966,07/19/17 12:04:00,49,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.001741391,0.001469981
299443:5971,07/20/17 00:32:54,20,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.000787111,0.000623142
299450:5974,07/20/17 04:37:03,50,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.001581860,0.001377267
299477:5976,07/20/17 12:44:20,10,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.000362327,0.000224830
299478:5976,07/20/17 13:06:43,172,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.005588553,0.005020880
299479:5976,07/20/17 14:18:01,117,HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v1,0.003827879,0.003378912
