#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
315257:6615,04/26/18 21:09:40,90,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000000384,0.000000367
315259:6615,04/26/18 21:54:51,172,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000000661,0.000000644
315264:6616,04/27/18 02:45:32,230,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000001918,0.000001838
315265:6616,04/27/18 04:20:05,55,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000000432,0.000000299
315267:6616,04/27/18 04:59:11,244,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000001769,0.000001720
315270:6616,04/27/18 06:44:15,633,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000003739,0.000003657
315322:6617,04/27/18 14:41:34,1329,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000008531,0.000008336
315339:6618,04/28/18 03:06:24,618,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000004430,0.000004322
315357:6620,04/28/18 19:32:25,776,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000007217,0.000007034
315361:6621,04/29/18 03:17:57,580,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000005671,0.000005488
315363:6621,04/29/18 07:08:34,86,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000000690,0.000000671
315366:6621,04/29/18 08:43:30,736,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000004711,0.000004638
315420:6624,04/29/18 23:54:09,1707,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000012230,0.000011971
315488:6628,04/30/18 19:08:38,802,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000072523,0.000070579
315489:6628,05/01/18 02:09:59,691,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000038978,0.000038310
315490:6628,05/01/18 06:53:23,24,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000000946,0.000000934
315506:6629,05/01/18 10:08:39,88,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000010908,0.000010364
315510:6629,05/01/18 11:10:29,345,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000039560,0.000038212
315512:6629,05/01/18 13:27:08,1122,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000089372,0.000087730
315543:6633,05/02/18 04:09:49,117,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000014022,0.000013662
315555:6636,05/02/18 09:42:48,76,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000009016,0.000008137
315556:6636,05/02/18 10:15:53,26,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000003325,0.000003109
315557:6636,05/02/18 10:30:09,279,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000031953,0.000031161
315640:6638,05/02/18 21:31:41,42,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000005528,0.000003894
315641:6638,05/02/18 21:56:12,4,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000000565,0.000000458
315642:6638,05/02/18 22:03:16,92,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000012117,0.000011641
315644:6638,05/02/18 22:42:00,184,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000023995,0.000023392
315645:6638,05/02/18 23:58:43,583,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000061114,0.000059663
315646:6638,05/03/18 03:51:56,1033,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000072387,0.000071098
315647:6638,05/03/18 10:38:46,58,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000003210,0.000002970
315648:6638,05/03/18 11:04:01,110,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000005746,0.000005639
315689:6639,05/03/18 14:58:22,1111,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000125661,0.000122207
315690:6639,05/03/18 22:39:08,645,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000044875,0.000044075
315702:6640,05/04/18 08:08:15,76,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000009111,0.000008464
315703:6640,05/04/18 08:40:27,545,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000060589,0.000058579
315704:6640,05/04/18 12:15:58,61,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000005617,0.000005459
315705:6640,05/04/18 12:42:46,700,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000050026,0.000049191
315713:6641,05/04/18 19:35:25,1061,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000135464,0.000131013
315721:6642,05/05/18 05:08:14,589,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000080932,0.000077992
315741:6643,05/05/18 11:57:43,59,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000009340,0.000008784
315764:6645,05/05/18 15:48:29,273,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000044113,0.000042226
315770:6646,05/06/18 02:20:23,294,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000046747,0.000045110
315784:6648,05/06/18 11:07:00,126,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000019894,0.000019185
315785:6648,05/06/18 12:23:07,303,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000040523,0.000039260
315786:6648,05/06/18 14:25:10,72,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000008414,0.000008092
315790:6648,05/06/18 18:12:51,921,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000065511,0.000064120
315800:6650,05/07/18 06:55:20,581,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000078939,0.000076376
315801:6650,05/07/18 10:57:12,344,HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v16,0.000037459,0.000036494
