#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
297050:5839,06/16/17 20:55:44,710,HLT_DoublePhoton33_CaloIdL_v1,0.097230965,0.094724927
297056:5840,06/17/17 05:00:46,192,HLT_DoublePhoton33_CaloIdL_v1,0.032591964,0.029288606
297057:5840,06/17/17 06:18:36,873,HLT_DoublePhoton33_CaloIdL_v1,0.117049341,0.114452759
297099:5842,06/17/17 19:23:59,39,HLT_DoublePhoton33_CaloIdL_v2,0.007762297,0.007194742
297100:5842,06/17/17 19:41:21,316,HLT_DoublePhoton33_CaloIdL_v2,0.065284113,0.062141085
297101:5842,06/17/17 22:12:25,1085,HLT_DoublePhoton33_CaloIdL_v2,0.165994010,0.161966021
297113:5845,06/18/17 12:43:12,239,HLT_DoublePhoton33_CaloIdL_v2,0.056309686,0.052137598
297114:5845,06/18/17 14:21:04,155,HLT_DoublePhoton33_CaloIdL_v2,0.033937491,0.032863186
297175:5848,06/19/17 19:04:40,76,HLT_DoublePhoton33_CaloIdL_v2,0.017092268,0.015880451
297176:5848,06/19/17 19:42:18,196,HLT_DoublePhoton33_CaloIdL_v2,0.041673883,0.039921738
297177:5848,06/19/17 21:04:30,158,HLT_DoublePhoton33_CaloIdL_v2,0.031494949,0.030311823
297178:5848,06/19/17 22:09:07,1340,HLT_DoublePhoton33_CaloIdL_v2,0.198288377,0.194468064
297179:5848,06/20/17 07:09:38,88,HLT_DoublePhoton33_CaloIdL_v2,0.009751227,0.009401683
297215:5849,06/20/17 13:53:03,47,HLT_DoublePhoton33_CaloIdL_v2,0.002605231,0.002457434
297218:5849,06/20/17 14:14:26,24,HLT_DoublePhoton33_CaloIdL_v2,0.004735950,0.002029434
297219:5849,06/20/17 14:26:07,2607,HLT_DoublePhoton33_CaloIdL_v2,0.434538012,0.421745795
297224:5849,06/21/17 07:56:03,125,HLT_DoublePhoton33_CaloIdL_v2,0.011823265,0.011615493
297225:5849,06/21/17 08:49:06,25,HLT_DoublePhoton33_CaloIdL_v2,0.002302389,0.002194206
297227:5849,06/21/17 09:04:44,184,HLT_DoublePhoton33_CaloIdL_v2,0.015814928,0.015669416
297292:5856,06/22/17 02:42:29,735,HLT_DoublePhoton33_CaloIdL_v2,0.181586511,0.171490118
297293:5856,06/22/17 07:41:33,139,HLT_DoublePhoton33_CaloIdL_v2,0.028639409,0.027186604
297296:5856,06/22/17 08:47:07,479,HLT_DoublePhoton33_CaloIdL_v2,0.087670368,0.084206760
297308:5856,06/22/17 12:06:46,44,HLT_DoublePhoton33_CaloIdL_v2,0.006548256,0.006297792
297359:5862,06/23/17 03:30:39,37,HLT_DoublePhoton33_CaloIdL_v2,0.002348576,0.002244911
297411:5864,06/23/17 13:35:24,911,HLT_DoublePhoton33_CaloIdL_v2,0.210605396,0.201578374
297424:5865,06/24/17 00:42:30,117,HLT_DoublePhoton33_CaloIdL_v2,0.006825176,0.006253960
297425:5865,06/24/17 01:29:38,149,HLT_DoublePhoton33_CaloIdL_v2,0.008524387,0.008229012
297426:5865,06/24/17 02:30:35,100,HLT_DoublePhoton33_CaloIdL_v2,0.025564349,0.023676338
297429:5865,06/24/17 03:24:57,72,HLT_DoublePhoton33_CaloIdL_v2,0.018312501,0.017366166
297430:5865,06/24/17 04:03:47,199,HLT_DoublePhoton33_CaloIdL_v2,0.048207442,0.046126812
297431:5865,06/24/17 05:23:08,174,HLT_DoublePhoton33_CaloIdL_v2,0.039048745,0.037653039
297432:5865,06/24/17 06:36:23,112,HLT_DoublePhoton33_CaloIdL_v2,0.023809413,0.023084377
297433:5865,06/24/17 07:41:47,153,HLT_DoublePhoton33_CaloIdL_v2,0.030635007,0.029638959
297434:5865,06/24/17 08:43:17,156,HLT_DoublePhoton33_CaloIdL_v2,0.029379597,0.028677732
297435:5865,06/24/17 09:45:40,94,HLT_DoublePhoton33_CaloIdL_v2,0.017018093,0.016643701
