#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
315257:6615,04/26/18 21:09:40,90,HLT_Mu18_Mu9_DZ_v3,0.000488324,0.000466441
315259:6615,04/26/18 21:54:51,172,HLT_Mu18_Mu9_DZ_v3,0.000840328,0.000818757
315264:6616,04/27/18 02:45:32,230,HLT_Mu18_Mu9_DZ_v3,0.001656957,0.001588136
315265:6616,04/27/18 04:20:05,55,HLT_Mu18_Mu9_DZ_v3,0.000372850,0.000258180
315267:6616,04/27/18 04:59:11,244,HLT_Mu18_Mu9_DZ_v3,0.001528751,0.001485732
315270:6616,04/27/18 06:44:15,633,HLT_Mu18_Mu9_DZ_v3,0.003230583,0.003159245
315322:6617,04/27/18 14:41:34,1329,HLT_Mu18_Mu9_DZ_v3,0.007370966,0.007202517
315339:6618,04/28/18 03:06:24,618,HLT_Mu18_Mu9_DZ_v3,0.003827685,0.003733962
315357:6620,04/28/18 19:32:25,776,HLT_Mu18_Mu9_DZ_v3,0.004723626,0.004603961
315361:6621,04/29/18 03:17:57,580,HLT_Mu18_Mu9_DZ_v3,0.003712020,0.003591874
315363:6621,04/29/18 07:08:34,86,HLT_Mu18_Mu9_DZ_v3,0.000451561,0.000439064
315366:6621,04/29/18 08:43:30,736,HLT_Mu18_Mu9_DZ_v3,0.003083653,0.003035841
315420:6624,04/29/18 23:54:09,1707,HLT_Mu18_Mu9_DZ_v3,0.008004894,0.007835345
315488:6628,04/30/18 19:08:38,802,HLT_Mu18_Mu9_DZ_v3,0.004553746,0.004431699
315489:6628,05/01/18 02:09:59,691,HLT_Mu18_Mu9_DZ_v3,0.002447463,0.002405539
315490:6628,05/01/18 06:53:23,24,HLT_Mu18_Mu9_DZ_v3,0.000059406,0.000058628
315506:6629,05/01/18 10:08:39,88,HLT_Mu18_Mu9_DZ_v3,0.000589009,0.000559663
315510:6629,05/01/18 11:10:29,345,HLT_Mu18_Mu9_DZ_v3,0.002136245,0.002063447
315512:6629,05/01/18 13:27:08,1122,HLT_Mu18_Mu9_DZ_v3,0.004826089,0.004737428
315543:6633,05/02/18 04:09:49,117,HLT_Mu18_Mu9_DZ_v3,0.000757209,0.000737725
315555:6636,05/02/18 09:42:48,76,HLT_Mu18_Mu9_DZ_v3,0.000486873,0.000439378
315556:6636,05/02/18 10:15:53,26,HLT_Mu18_Mu9_DZ_v3,0.000179527,0.000167904
315557:6636,05/02/18 10:30:09,279,HLT_Mu18_Mu9_DZ_v3,0.001725447,0.001682688
315640:6638,05/02/18 21:31:41,42,HLT_Mu18_Mu9_DZ_v3,0.000298496,0.000210250
315641:6638,05/02/18 21:56:12,4,HLT_Mu18_Mu9_DZ_v3,0.001524398,0.001237309
315642:6638,05/02/18 22:03:16,92,HLT_Mu18_Mu9_DZ_v3,0.000654296,0.000628622
315644:6638,05/02/18 22:42:00,184,HLT_Mu18_Mu9_DZ_v3,0.001295722,0.001263194
315645:6638,05/02/18 23:58:43,583,HLT_Mu18_Mu9_DZ_v3,0.003300148,0.003221811
315646:6638,05/03/18 03:51:56,1033,HLT_Mu18_Mu9_DZ_v3,0.003908908,0.003839289
315647:6638,05/03/18 10:38:46,58,HLT_Mu18_Mu9_DZ_v3,0.000173351,0.000160364
315648:6638,05/03/18 11:04:01,110,HLT_Mu18_Mu9_DZ_v3,0.000310275,0.000304523
315689:6639,05/03/18 14:58:22,1111,HLT_Mu18_Mu9_DZ_v3,0.006785711,0.006599177
315690:6639,05/03/18 22:39:08,645,HLT_Mu18_Mu9_DZ_v3,0.002423251,0.002380039
315702:6640,05/04/18 08:08:15,76,HLT_Mu18_Mu9_DZ_v3,0.000492006,0.000457062
315703:6640,05/04/18 08:40:27,545,HLT_Mu18_Mu9_DZ_v3,0.003271807,0.003163240
315704:6640,05/04/18 12:15:58,61,HLT_Mu18_Mu9_DZ_v3,0.000303341,0.000294780
315705:6640,05/04/18 12:42:46,700,HLT_Mu18_Mu9_DZ_v3,0.002701397,0.002656296
315713:6641,05/04/18 19:35:25,1061,HLT_Mu18_Mu9_DZ_v3,0.007315029,0.007074694
315721:6642,05/05/18 05:08:14,589,HLT_Mu18_Mu9_DZ_v3,0.004370319,0.004211583
315741:6643,05/05/18 11:57:43,59,HLT_Mu18_Mu9_DZ_v3,0.000504354,0.000474345
315764:6645,05/05/18 15:48:29,273,HLT_Mu18_Mu9_DZ_v3,0.002382106,0.002280223
315770:6646,05/06/18 02:20:23,294,HLT_Mu18_Mu9_DZ_v3,0.002524322,0.002435924
315784:6648,05/06/18 11:07:00,126,HLT_Mu18_Mu9_DZ_v3,0.001074285,0.001035997
315785:6648,05/06/18 12:23:07,303,HLT_Mu18_Mu9_DZ_v3,0.002188259,0.002120067
315786:6648,05/06/18 14:25:10,72,HLT_Mu18_Mu9_DZ_v3,0.000454368,0.000436963
315790:6648,05/06/18 18:12:51,921,HLT_Mu18_Mu9_DZ_v3,0.003537587,0.003462472
315800:6650,05/07/18 06:55:20,581,HLT_Mu18_Mu9_DZ_v3,0.004262711,0.004124308
315801:6650,05/07/18 10:57:12,344,HLT_Mu18_Mu9_DZ_v3,0.002022764,0.001970692
315840:6654,05/07/18 21:19:16,1122,HLT_Mu18_Mu9_DZ_v3,0.007288788,0.007082229
315973:6659,05/08/18 23:33:11,855,HLT_Mu18_Mu9_DZ_v3,0.005718780,0.005571724
315974:6659,05/09/18 05:17:09,71,HLT_Mu18_Mu9_DZ_v3,0.000477005,0.000463305
316058:6662,05/09/18 20:47:16,364,HLT_Mu18_Mu9_DZ_v3,0.003568893,0.003429930
316059:6662,05/09/18 23:10:21,566,HLT_Mu18_Mu9_DZ_v3,0.004459547,0.004260674
316060:6662,05/10/18 02:53:15,935,HLT_Mu18_Mu9_DZ_v3,0.005097877,0.004961981
316061:6662,05/10/18 09:00:15,36,HLT_Mu18_Mu9_DZ_v3,0.000156365,0.000153673
316062:6662,05/10/18 10:24:04,4,HLT_Mu18_Mu9_DZ_v3,0.000017743,0.000017457
316082:6663,05/10/18 12:45:58,371,HLT_Mu18_Mu9_DZ_v3,0.003645969,0.003533990
316110:6666,05/10/18 21:22:27,210,HLT_Mu18_Mu9_DZ_v3,0.002116564,0.002049237
316111:6666,05/10/18 22:46:45,48,HLT_Mu18_Mu9_DZ_v3,0.000441543,0.000379049
316113:6666,05/10/18 23:16:41,64,HLT_Mu18_Mu9_DZ_v3,0.000557791,0.000512282
316114:6666,05/10/18 23:42:59,1561,HLT_Mu18_Mu9_DZ_v3,0.009441144,0.009199874
316153:6672,05/11/18 17:03:13,770,HLT_Mu18_Mu9_DZ_v3,0.006589239,0.006406011
316186:6674,05/12/18 03:00:17,44,HLT_Mu18_Mu9_DZ_v3,0.000428545,0.000378842
316187:6674,05/12/18 03:18:33,1970,HLT_Mu18_Mu9_DZ_v3,0.013364692,0.012810719
316199:6675,05/12/18 18:55:11,1165,HLT_Mu18_Mu9_DZ_v3,0.010408286,0.010049033
316200:6675,05/13/18 02:29:14,10,HLT_Mu18_Mu9_DZ_v3,0.000065896,0.000055655
316201:6675,05/13/18 02:36:34,498,HLT_Mu18_Mu9_DZ_v3,0.002898943,0.002752329
316202:6675,05/13/18 05:53:19,403,HLT_Mu18_Mu9_DZ_v3,0.001935854,0.001877653
316216:6677,05/13/18 11:57:38,442,HLT_Mu18_Mu9_DZ_v3,0.004481518,0.004286977
316217:6677,05/13/18 15:05:03,264,HLT_Mu18_Mu9_DZ_v3,0.002286046,0.002203972
316218:6677,05/13/18 16:52:47,1008,HLT_Mu18_Mu9_DZ_v3,0.006259524,0.006080818
316219:6677,05/13/18 23:33:19,283,HLT_Mu18_Mu9_DZ_v3,0.001259699,0.001224461
316239:6681,05/14/18 05:52:32,589,HLT_Mu18_Mu9_DZ_v3,0.005443047,0.005232976
316240:6681,05/14/18 09:45:29,1224,HLT_Mu18_Mu9_DZ_v3,0.007338831,0.007092063
316241:6681,05/14/18 17:44:39,325,HLT_Mu18_Mu9_DZ_v3,0.001382404,0.001329860
316271:6683,05/15/18 00:23:54,86,HLT_Mu18_Mu9_DZ_v3,0.000801679,0.000742452
316361:6688,05/15/18 17:14:35,189,HLT_Mu18_Mu9_DZ_v4,0.000711980,0.000660347
316362:6688,05/15/18 18:35:04,425,HLT_Mu18_Mu9_DZ_v4,0.001391974,0.001347902
316363:6688,05/15/18 21:30:58,48,HLT_Mu18_Mu9_DZ_v4,0.000123717,0.000115287
316377:6690,05/16/18 01:56:02,21,HLT_Mu18_Mu9_DZ_v4,0.000080975,0.000049652
316378:6690,05/16/18 02:06:22,29,HLT_Mu18_Mu9_DZ_v4,0.000155260,0.000083417
316379:6690,05/16/18 02:20:12,70,HLT_Mu18_Mu9_DZ_v4,0.000364778,0.000205554
316380:6690,05/16/18 02:51:00,1208,HLT_Mu18_Mu9_DZ_v4,0.004483412,0.004382004
316455:6693,05/16/18 19:16:25,36,HLT_Mu18_Mu9_DZ_v4,0.000247859,0.000240177
316457:6693,05/16/18 19:38:28,1454,HLT_Mu18_Mu9_DZ_v4,0.008393094,0.008156832
316469:6694,05/17/18 07:48:25,428,HLT_Mu18_Mu9_DZ_v4,0.003850134,0.003721946
316470:6694,05/17/18 11:54:09,476,HLT_Mu18_Mu9_DZ_v4,0.003025287,0.002921738
316472:6694,05/17/18 15:00:34,328,HLT_Mu18_Mu9_DZ_v4,0.001702957,0.001655929
316505:6696,05/18/18 00:24:11,1319,HLT_Mu18_Mu9_DZ_v4,0.010362565,0.010030501
316569:6700,05/19/18 02:15:13,1888,HLT_Mu18_Mu9_DZ_v4,0.012485861,0.012139233
316590:6702,05/19/18 20:55:25,510,HLT_Mu18_Mu9_DZ_v4,0.004883673,0.004731182
316613:6706,05/20/18 07:52:22,193,HLT_Mu18_Mu9_DZ_v4,0.000803096,0.000786655
316615:6706,05/20/18 09:12:45,338,HLT_Mu18_Mu9_DZ_v4,0.001250995,0.001228185
316666:6709,05/20/18 21:51:33,981,HLT_Mu18_Mu9_DZ_v4,0.007262544,0.006984532
316667:6709,05/21/18 04:15:41,197,HLT_Mu18_Mu9_DZ_v4,0.001090158,0.001053502
316700:6710,05/21/18 11:45:22,311,HLT_Mu18_Mu9_DZ_v4,0.003043366,0.002857605
316701:6710,05/21/18 14:12:33,479,HLT_Mu18_Mu9_DZ_v4,0.003766534,0.003598333
316702:6710,05/21/18 17:21:19,388,HLT_Mu18_Mu9_DZ_v4,0.002459926,0.002386547
316715:6711,05/22/18 01:10:33,13,HLT_Mu18_Mu9_DZ_v4,0.000083781,0.000075013
316716:6711,05/22/18 01:30:21,181,HLT_Mu18_Mu9_DZ_v4,0.001743192,0.001544819
316717:6711,05/22/18 02:44:00,192,HLT_Mu18_Mu9_DZ_v4,0.001665457,0.001584647
316718:6711,05/22/18 04:00:35,311,HLT_Mu18_Mu9_DZ_v4,0.002342550,0.002255564
316719:6711,05/22/18 06:17:36,136,HLT_Mu18_Mu9_DZ_v4,0.000884545,0.000811237
316720:6711,05/22/18 07:16:06,182,HLT_Mu18_Mu9_DZ_v4,0.001078767,0.001043303
316721:6711,05/22/18 08:29:42,15,HLT_Mu18_Mu9_DZ_v4,0.000083617,0.000081502
316722:6711,05/22/18 08:45:58,751,HLT_Mu18_Mu9_DZ_v4,0.003495843,0.003369013
316723:6711,05/22/18 13:38:48,64,HLT_Mu18_Mu9_DZ_v4,0.000245764,0.000240528
316758:6712,05/22/18 16:43:00,1599,HLT_Mu18_Mu9_DZ_v4,0.011800065,0.011392068
