#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
297557:5876,06/26/17 23:20:35,334,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.099951800,0.093802629
297558:5876,06/27/17 01:56:22,255,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.067643262,0.064909735
297562:5876,06/27/17 05:58:50,318,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.063836800,0.061496356
297563:5876,06/27/17 08:23:20,259,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.046709527,0.045288723
297598:5878,06/27/17 15:01:40,5,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.001579112,0.001177115
297599:5878,06/27/17 15:06:25,342,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.096454812,0.092672836
297603:5878,06/27/17 17:52:22,418,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.102724074,0.098963659
297604:5878,06/27/17 20:44:33,389,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.081195931,0.078676946
297605:5878,06/27/17 23:22:43,357,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.065040904,0.063532866
297606:5878,06/28/17 02:10:08,227,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.036465988,0.035601065
297620:5880,06/28/17 10:09:22,287,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.088077412,0.082127437
297656:5882,06/28/17 17:39:53,300,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.096883649,0.093082705
297665:5882,06/29/17 00:46:59,267,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.058108538,0.056351241
297666:5882,06/29/17 02:42:25,112,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.022563105,0.021995359
297670:5883,06/29/17 06:26:33,7,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.002349054,0.002132356
297674:5883,06/29/17 07:15:59,176,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.054521893,0.052021832
297675:5883,06/29/17 08:36:58,451,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.122899068,0.118758571
297722:5887,06/29/17 20:40:23,287,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.094421885,0.090928386
297723:5887,06/29/17 23:02:24,185,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.053721529,0.051758051
298996:5942,07/14/17 07:36:18,184,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.028674297,0.022845750
298997:5942,07/14/17 08:52:13,37,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.005641364,0.003919547
299000:5942,07/14/17 09:20:59,74,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.010062949,0.008038139
299042:5946,07/14/17 20:11:50,23,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.004137076,0.002019627
299061:5950,07/15/17 01:00:37,311,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.078022497,0.064855292
299062:5950,07/15/17 03:04:08,294,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.067549437,0.058465106
299064:5950,07/15/17 05:04:34,78,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.016786082,0.015542908
299065:5950,07/15/17 05:49:29,321,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.063253747,0.057497448
299067:5950,07/15/17 08:12:54,459,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.076024723,0.068806840
299096:5952,07/15/17 15:27:14,96,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.026625680,0.024066610
299149:5954,07/16/17 01:40:41,442,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.120827012,0.108248935
299178:5958,07/16/17 12:24:55,70,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.018645872,0.015790998
299180:5958,07/16/17 12:57:51,68,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.018825507,0.015575465
299184:5958,07/16/17 13:42:24,555,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.134989616,0.123264916
299185:5958,07/16/17 17:26:14,120,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.025655519,0.023452406
299327:5960,07/18/17 07:53:09,69,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.016657573,0.015178467
299329:5960,07/18/17 08:25:06,172,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v10,0.039728374,0.037486980
299368:5962,07/18/17 16:09:23,131,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.002237141,0.001818620
299369:5962,07/18/17 17:05:01,302,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.004888340,0.004358870
299370:5962,07/18/17 19:39:20,666,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.011348546,0.010629077
299380:5963,07/19/17 02:35:27,191,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.003165941,0.002870662
299381:5963,07/19/17 04:00:43,45,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.000672342,0.000596427
299394:5965,07/19/17 07:30:38,22,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.000299429,0.000267245
299395:5965,07/19/17 07:42:23,182,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.003088978,0.002131027
299396:5965,07/19/17 08:55:05,81,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.001339775,0.000955473
299420:5966,07/19/17 12:04:00,49,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.000870695,0.000734991
299443:5971,07/20/17 00:32:54,20,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.000393555,0.000311571
299450:5974,07/20/17 04:37:03,50,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.000790930,0.000688633
299477:5976,07/20/17 12:44:20,10,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.000181163,0.000112415
299478:5976,07/20/17 13:06:43,172,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.002794276,0.002510440
299479:5976,07/20/17 14:18:01,117,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.001935090,0.001707230
299480:5976,07/20/17 15:07:52,710,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.012664960,0.011730909
299481:5976,07/20/17 19:55:18,1200,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.037351987,0.035225065
299593:5979,07/21/17 18:23:44,797,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.012879756,0.011955262
299594:5979,07/21/17 23:38:54,309,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.004980738,0.004668170
299595:5979,07/22/17 01:48:02,135,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.001992998,0.001923885
299597:5979,07/22/17 02:46:03,537,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.006862010,0.006566887
299649:5984,07/24/17 02:38:21,182,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v11,0.003005859,0.002731149
300087:6019,07/29/17 06:23:31,194,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.004362469,0.004190624
300105:6020,07/29/17 12:14:52,21,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.000324166,0.000070069
300106:6020,07/29/17 12:26:04,74,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.001361939,0.001085411
300107:6020,07/29/17 12:58:01,46,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.000826505,0.000742773
300117:6021,07/29/17 16:45:44,33,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.000522287,0.000337069
300122:6024,07/29/17 21:46:18,1235,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.021713666,0.019697664
300123:6024,07/30/17 05:57:59,601,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.011916937,0.011250018
300155:6026,07/30/17 18:49:40,1188,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.020570483,0.018668211
300156:6026,07/31/17 02:33:41,64,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.000987014,0.000906117
300157:6026,07/31/17 03:14:44,1099,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.019761046,0.018697912
300226:6030,07/31/17 17:03:13,406,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.006805784,0.006004294
300233:6031,07/31/17 22:08:06,111,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.002094942,0.001757788
300234:6031,07/31/17 22:55:49,59,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.001077955,0.000811585
300235:6031,07/31/17 23:21:52,181,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.003171707,0.002751687
300236:6031,08/01/17 00:39:29,172,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.002837883,0.002576018
300237:6031,08/01/17 01:48:17,715,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.012698348,0.011840148
300238:6031,08/01/17 06:39:51,290,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.004714673,0.004231082
300239:6031,08/01/17 08:36:42,202,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.003882915,0.003476514
300240:6031,08/01/17 10:10:56,354,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.005980064,0.005477724
300280:6035,08/02/17 04:47:45,548,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.009662048,0.007981032
300281:6035,08/02/17 09:00:44,6,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.001624421,0.001496696
300282:6035,08/02/17 09:08:14,131,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.002318055,0.002054279
300283:6035,08/02/17 10:20:31,26,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.000502763,0.000447412
300284:6035,08/02/17 10:35:38,679,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.011319933,0.010676994
300364:6041,08/03/17 12:13:45,17,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v12,0.000321176,0.000221958
