#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
302026:6147,08/30/17 06:49:09,30,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.000475214,0.000422899
302029:6147,08/30/17 07:16:38,92,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.001692164,0.001389231
302031:6147,08/30/17 08:08:29,814,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.016135955,0.015458609
302033:6147,08/30/17 13:34:23,41,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.001112462,0.001024690
302034:6147,08/30/17 13:54:42,12,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.000323811,0.000096710
302037:6147,08/30/17 14:25:38,2,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.000052417,0.000012087
302038:6147,08/30/17 14:31:57,1,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.000026022,0.000001797
302040:6147,08/30/17 14:35:43,168,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.004286480,0.004190968
302041:6147,08/30/17 15:44:00,65,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.001581556,0.001547627
302042:6147,08/30/17 16:12:11,516,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.011233191,0.010996717
302043:6147,08/30/17 19:35:17,228,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.004509395,0.004419493
302131:6152,08/31/17 12:32:49,873,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.019837786,0.019408781
302159:6155,09/01/17 00:37:45,108,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.002123918,0.002009576
302163:6156,09/01/17 03:33:23,1189,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.025604959,0.024748148
302165:6156,09/01/17 11:25:29,80,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.001447902,0.001377997
302166:6156,09/01/17 11:58:48,16,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.000308676,0.000303764
302225:6158,09/01/17 18:41:42,868,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.017952269,0.017561557
302228:6159,09/02/17 03:31:11,234,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.004909873,0.004726421
302229:6159,09/02/17 05:05:33,457,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.008651449,0.008446348
302240:6160,09/02/17 10:53:49,960,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.020684972,0.020252627
302262:6161,09/03/17 03:32:01,428,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.008340263,0.008033745
302263:6161,09/03/17 06:21:33,1250,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.027687652,0.027116743
302277:6165,09/03/17 22:44:53,372,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.006920676,0.006720139
302279:6165,09/04/17 07:35:57,70,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.001795528,0.001665347
302280:6165,09/04/17 08:06:51,152,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.004269600,0.004203798
302322:6167,09/04/17 17:43:03,838,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.019093952,0.018643388
302328:6168,09/05/17 01:49:04,681,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.014017377,0.013625891
302337:6169,09/05/17 09:16:54,127,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.002224738,0.002062040
302342:6169,09/05/17 10:22:40,54,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.001145874,0.000866654
302343:6169,09/05/17 10:52:16,97,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v1,0.001983900,0.001914780
