#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
302026:6147,08/30/17 06:49:09,30,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000475214,0.000422899
302029:6147,08/30/17 07:16:38,92,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001692164,0.001389231
302031:6147,08/30/17 08:08:29,814,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016135955,0.015458609
302033:6147,08/30/17 13:34:23,41,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000929928,0.000856697
302034:6147,08/30/17 13:54:42,12,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000269843,0.000080591
302037:6147,08/30/17 14:25:38,2,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000043681,0.000010073
302038:6147,08/30/17 14:31:57,1,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000021685,0.000001497
302040:6147,08/30/17 14:35:43,168,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003572066,0.003492474
302041:6147,08/30/17 15:44:00,65,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001317963,0.001289689
302042:6147,08/30/17 16:12:11,516,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.009360993,0.009163931
302043:6147,08/30/17 19:35:17,228,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003870781,0.003794239
302131:6152,08/31/17 12:32:49,873,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.017359887,0.016984581
302159:6155,09/01/17 00:37:45,108,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002123918,0.002009576
302163:6156,09/01/17 03:33:23,1189,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.022635321,0.021877419
302165:6156,09/01/17 11:25:29,80,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001206585,0.001148331
302166:6156,09/01/17 11:58:48,16,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000257230,0.000253137
302225:6158,09/01/17 18:41:42,868,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016497387,0.016133558
302228:6159,09/02/17 03:31:11,234,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.004841080,0.004659331
302229:6159,09/02/17 05:05:33,457,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.008651449,0.008446348
302240:6160,09/02/17 10:53:49,960,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.019356464,0.018947565
302262:6161,09/03/17 03:32:01,428,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.008340263,0.008033745
302263:6161,09/03/17 06:21:33,1250,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.024767336,0.024252816
302277:6165,09/03/17 22:44:53,372,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.006920676,0.006720139
302279:6165,09/04/17 07:35:57,70,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001712578,0.001593109
302280:6165,09/04/17 08:06:51,152,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.004269600,0.004203798
302322:6167,09/04/17 17:43:03,838,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016136278,0.015739131
302328:6168,09/05/17 01:49:04,681,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.013127997,0.012761629
302337:6169,09/05/17 09:16:54,127,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002224738,0.002062040
302342:6169,09/05/17 10:22:40,54,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001145874,0.000866654
302343:6169,09/05/17 10:52:16,97,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001983900,0.001914780
302344:6169,09/05/17 11:33:14,480,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.008810153,0.008599765
302350:6169,09/05/17 15:02:18,136,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002792177,0.002748832
302388:6170,09/05/17 18:47:02,685,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.012672658,0.012263935
302392:6171,09/06/17 01:57:37,355,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.007190796,0.006810166
302393:6171,09/06/17 04:19:09,887,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016892462,0.016541229
302448:6174,09/06/17 20:48:45,1898,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.037607186,0.036718892
302472:6175,09/07/17 11:26:58,781,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.014640779,0.014068052
302473:6175,09/07/17 16:32:57,368,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.007753841,0.007548034
302474:6175,09/07/17 19:17:17,305,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.005691144,0.005426658
302475:6175,09/07/17 21:17:58,2,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000283688,0.000099576
302476:6175,09/07/17 21:22:33,259,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.005280133,0.005146634
302479:6176,09/08/17 01:19:43,309,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.006306902,0.006022705
302484:6177,09/08/17 06:07:18,169,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003442745,0.003223450
302485:6177,09/08/17 07:17:25,922,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.018344754,0.017728976
302492:6177,09/08/17 13:49:02,44,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000872119,0.000848449
302493:6177,09/08/17 14:09:59,2,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000313803,0.000141710
302494:6177,09/08/17 14:13:24,618,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.013549413,0.013247997
302509:6179,09/08/17 23:12:14,20,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000367987,0.000356217
302513:6180,09/09/17 02:18:36,53,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000944966,0.000871618
302522:6182,09/09/17 07:21:36,12,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000212750,0.000046232
302523:6182,09/09/17 07:29:07,54,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001148481,0.000977116
302525:6182,09/09/17 07:58:46,702,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.013204000,0.012718736
302526:6182,09/09/17 13:00:58,582,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.011310331,0.011038190
302548:6185,09/10/17 01:59:07,81,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001554324,0.001392972
302551:6185,09/10/17 02:41:42,6,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001316382,0.000103949
302553:6185,09/10/17 02:50:55,187,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003532676,0.003366986
302554:6185,09/10/17 04:05:18,3,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000595511,0.000091438
302555:6185,09/10/17 04:09:27,11,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000197824,0.000173601
302563:6186,09/10/17 07:12:18,7,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000107873,0.000022863
302565:6186,09/10/17 07:21:03,3,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000697430,0.000149416
302572:6186,09/10/17 08:51:54,281,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.005070227,0.004887754
302573:6186,09/10/17 10:44:44,1249,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.024666668,0.024112243
302596:6189,09/11/17 03:28:46,920,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.018252506,0.017655271
302597:6189,09/11/17 09:35:10,1054,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.020998708,0.020582035
302634:6191,09/12/17 01:21:56,582,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.011145834,0.010580879
302635:6191,09/12/17 05:18:01,1252,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.024885046,0.024213793
302651:6192,09/12/17 16:37:00,146,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003025255,0.002730485
302654:6192,09/12/17 17:38:00,317,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.005963682,0.005815222
302661:6193,09/12/17 22:27:07,67,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001287097,0.000860492
302663:6193,09/12/17 23:00:30,706,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.017751134,0.017303093
303825:6239,09/24/17 07:38:22,180,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003447663,0.003382671
303832:6240,09/24/17 11:12:03,1857,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.035266350,0.034301966
303838:6241,09/25/17 01:48:14,1963,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.038024043,0.036880539
303885:6243,09/25/17 19:09:18,1993,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.037546339,0.036243603
303948:6245,09/26/17 12:47:20,1624,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.031109486,0.029960795
303998:6247,09/27/17 07:04:50,262,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.004543151,0.004181183
303999:6247,09/27/17 08:51:42,747,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.014764505,0.014192525
304000:6247,09/27/17 13:43:21,56,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000986746,0.000967666
304062:6252,09/27/17 20:37:25,1961,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.039158746,0.037882879
304119:6253,09/28/17 12:28:48,72,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001177603,0.001049857
304120:6253,09/28/17 13:00:38,252,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.004488474,0.004170774
304125:6253,09/28/17 14:40:12,1769,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.035760300,0.034873362
304144:6255,09/29/17 05:27:56,2580,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.050300567,0.048573566
304158:6258,09/30/17 06:34:02,1922,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.043116158,0.041789341
304169:6259,09/30/17 22:12:01,1666,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.041967052,0.040705514
304170:6259,10/01/17 09:08:28,620,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.025692286,0.025208771
304199:6261,10/01/17 18:52:32,5,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000087575,0.000003280
304200:6261,10/01/17 18:55:56,321,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.006041512,0.005736810
304204:6262,10/01/17 23:41:28,553,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.009930125,0.009348762
304209:6263,10/02/17 05:33:50,405,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.007282572,0.006713841
304291:6266,10/02/17 17:40:12,22,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000291017,0.000168638
304292:6266,10/02/17 17:51:42,1753,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.032588226,0.031122975
304333:6268,10/03/17 11:50:16,1580,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.028820891,0.027743252
304354:6269,10/04/17 03:17:59,214,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003145563,0.002967588
304366:6271,10/04/17 09:20:21,1819,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.033473412,0.032302785
304446:6272,10/05/17 00:46:48,55,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000848477,0.000730032
304447:6272,10/05/17 01:17:36,1639,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.032856780,0.031503465
304451:6272,10/05/17 12:15:05,54,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001312378,0.001235948
304505:6275,10/05/17 18:53:15,26,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000398184,0.000335287
304506:6275,10/05/17 19:04:50,370,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.005418491,0.005197211
304507:6275,10/05/17 21:32:15,235,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003740974,0.002733575
304508:6275,10/05/17 23:07:03,1324,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.026117909,0.025466545
304562:6276,10/06/17 12:30:33,794,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.019481971,0.018109848
304616:6278,10/06/17 22:15:30,942,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016646547,0.015783471
304625:6279,10/07/17 07:35:53,462,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.007047267,0.006205781
304626:6279,10/07/17 10:38:44,8,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000126589,0.000115794
304654:6283,10/08/17 01:25:39,645,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.010158313,0.008456581
304655:6283,10/08/17 05:39:51,1194,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.024088347,0.023238856
304661:6284,10/08/17 15:49:49,142,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002132811,0.002007118
304662:6284,10/08/17 17:02:49,147,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002138189,0.001960956
304663:6284,10/08/17 18:03:25,689,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.013155173,0.012591934
304671:6285,10/09/17 00:42:58,1139,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.020258505,0.019239330
304672:6285,10/09/17 08:09:10,60,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001132144,0.001106178
304737:6287,10/09/17 19:53:10,75,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001154664,0.001073812
304738:6287,10/09/17 20:24:42,1677,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.032023149,0.030828301
304739:6287,10/10/17 07:20:18,11,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000288342,0.000258493
304740:6287,10/10/17 07:25:27,278,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.006801498,0.006642028
304776:6288,10/10/17 12:08:18,41,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000614658,0.000407553
304777:6288,10/10/17 12:27:41,497,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.007445377,0.007089810
304778:6288,10/10/17 15:47:07,1297,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.025719668,0.025026033
304797:6291,10/11/17 07:04:09,2910,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.055293110,0.053557422
305044:6297,10/13/17 21:00:45,218,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003459415,0.003245748
305045:6297,10/13/17 23:11:07,873,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.021665746,0.020741069
305046:6297,10/14/17 04:51:45,683,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016579967,0.016152289
305059:6298,10/14/17 11:45:00,510,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.007523950,0.006870851
305062:6298,10/14/17 15:13:17,5,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001683915,0.001305638
305063:6298,10/14/17 15:18:15,35,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000514804,0.000424701
305064:6298,10/14/17 15:34:27,2045,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.039420782,0.038360740
305081:6300,10/15/17 09:05:35,1056,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.018272300,0.017256228
305112:6303,10/15/17 23:07:00,1455,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.026972070,0.025826153
305113:6303,10/16/17 08:40:46,59,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001036612,0.000993705
305114:6303,10/16/17 09:05:22,526,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.010711446,0.010450836
305178:6304,10/16/17 17:19:50,53,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000802874,0.000747029
305179:6304,10/16/17 17:41:42,17,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000257553,0.000167674
305180:6304,10/16/17 17:50:42,5,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001728826,0.000554954
305181:6304,10/16/17 17:55:03,7,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002465674,0.000585574
305182:6304,10/16/17 18:00:34,5,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001738958,0.000951367
305183:6304,10/16/17 18:04:56,232,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003506973,0.003361731
305184:6304,10/16/17 19:50:14,8,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002747195,0.000103732
305186:6304,10/16/17 19:58:49,415,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.006611501,0.006320533
305188:6304,10/16/17 23:07:05,1002,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.044535308,0.043192537
305202:6305,10/17/17 08:18:29,648,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.009948166,0.009365736
305204:6305,10/17/17 13:20:31,1229,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.023630018,0.022909675
305207:6306,10/17/17 23:34:03,1026,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016491932,0.015820404
305208:6306,10/18/17 06:15:41,372,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.007873141,0.007550549
305234:6307,10/18/17 11:00:15,46,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000777670,0.000608616
305236:6307,10/18/17 11:28:42,23,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000400074,0.000324344
305237:6307,10/18/17 11:42:18,1146,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.021740410,0.020781443
305247:6308,10/18/17 23:58:28,375,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.006534588,0.006120616
305248:6308,10/19/17 02:26:29,952,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.017891188,0.016982061
305252:6308,10/19/17 09:09:00,548,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.010810096,0.010562360
305282:6309,10/19/17 15:28:19,133,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002293114,0.002191197
305310:6311,10/19/17 20:28:01,389,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.006765133,0.006364681
305311:6311,10/19/17 23:03:23,153,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002538029,0.002369331
305312:6311,10/20/17 00:05:08,227,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003973317,0.003742151
305313:6311,10/20/17 01:35:47,739,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.014602124,0.013941890
305314:6311,10/20/17 06:25:45,404,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.008528345,0.008309372
305336:6312,10/20/17 12:11:09,206,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003091237,0.002878386
305338:6312,10/20/17 13:32:38,103,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001536928,0.001439642
305341:6312,10/20/17 14:14:05,500,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.007654934,0.007272425
305349:6312,10/20/17 17:29:36,30,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000516757,0.000242553
305350:6312,10/20/17 17:43:01,15,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.000290332,0.000272865
305351:6312,10/20/17 17:51:38,868,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.017935515,0.017325149
305358:6313,10/21/17 02:01:05,158,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002399625,0.002156253
305364:6314,10/21/17 05:43:21,94,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001413101,0.001322365
305365:6314,10/21/17 06:21:12,825,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.013059220,0.012408431
305366:6314,10/21/17 11:46:55,1239,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.026142097,0.025392698
305376:6315,10/22/17 00:11:09,98,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.001487827,0.001420469
305377:6315,10/22/17 01:10:10,1514,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.028768385,0.027576048
305405:6317,10/22/17 18:15:49,494,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.009449090,0.008902265
305406:6317,10/22/17 21:45:00,1458,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.027052499,0.026083872
305440:6318,10/23/17 10:50:33,266,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.005133057,0.004625186
305441:6318,10/23/17 12:36:13,121,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002115854,0.002034177
305516:6323,10/23/17 23:42:58,552,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.010698095,0.009807591
305517:6323,10/24/17 03:42:14,163,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003225690,0.002182889
305518:6323,10/24/17 04:48:59,1134,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.020580624,0.019829384
305586:6324,10/24/17 17:46:56,531,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.010090474,0.009538634
305589:6324,10/24/17 22:47:21,691,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.012977874,0.012419810
305590:6324,10/25/17 03:17:26,1004,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.018585248,0.018115934
305636:6325,10/25/17 13:27:50,2326,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.043188105,0.041496357
305766:6337,10/27/17 04:37:33,847,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016139323,0.015376437
305809:6341,10/27/17 23:20:38,142,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.002715557,0.002552913
305814:6343,10/28/17 06:17:08,1823,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.034920840,0.033388816
305821:6344,10/28/17 20:29:22,772,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.014704130,0.013857748
305832:6346,10/29/17 11:22:50,180,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.003486640,0.003223404
305840:6346,10/29/17 15:39:01,1141,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.021065152,0.020206576
305842:6346,10/29/17 23:07:26,862,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.016005354,0.015598762
305862:6347,10/30/17 11:28:42,625,HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v1,0.011889127,0.011301136
