#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
299368:5962,07/18/17 16:09:23,131,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.002013427,0.001636758
299369:5962,07/18/17 17:05:01,302,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.004399506,0.003922983
299370:5962,07/18/17 19:39:20,666,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.010447591,0.009787842
299380:5963,07/19/17 02:35:27,191,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.002861703,0.002594929
299381:5963,07/19/17 04:00:43,45,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.000611220,0.000542206
299394:5965,07/19/17 07:30:38,22,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.000272208,0.000242950
299395:5965,07/19/17 07:42:23,182,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.002784194,0.001921428
299396:5965,07/19/17 08:55:05,81,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.001205797,0.000859925
299420:5966,07/19/17 12:04:00,49,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.000783626,0.000661492
299443:5971,07/20/17 00:32:54,20,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.000354200,0.000280414
299450:5974,07/20/17 04:37:03,50,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.000711837,0.000619770
299477:5976,07/20/17 12:44:20,10,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.000163047,0.000101174
299478:5976,07/20/17 13:06:43,172,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.002514849,0.002259396
299479:5976,07/20/17 14:18:01,117,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.001735609,0.001531488
299480:5976,07/20/17 15:07:52,710,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.011443094,0.010597831
299481:5976,07/20/17 19:55:18,1200,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.036395941,0.034321897
299593:5979,07/21/17 18:23:44,797,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.011576088,0.010745955
299594:5979,07/21/17 23:38:54,309,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.004624971,0.004334729
299595:5979,07/22/17 01:48:02,135,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.001850641,0.001786464
299597:5979,07/22/17 02:46:03,537,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.006371867,0.006097824
299649:5984,07/24/17 02:38:21,182,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v10,0.002739334,0.002488462
300087:6019,07/29/17 06:23:31,194,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v11,0.004337505,0.004177086
300105:6020,07/29/17 12:14:52,21,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v11,0.000291750,0.000063063
300106:6020,07/29/17 12:26:04,74,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v11,0.001225745,0.000976870
300107:6020,07/29/17 12:58:01,46,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v11,0.000743855,0.000668495
300117:6021,07/29/17 16:45:44,33,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v11,0.000470058,0.000303362
300122:6024,07/29/17 21:46:18,1235,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v11,0.019633273,0.017813542
300123:6024,07/30/17 05:57:59,601,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v11,0.010725243,0.010125016
