#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
315257:6615,04/26/18 21:09:40,90,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.008301504,0.007929497
315259:6615,04/26/18 21:54:51,172,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.014285583,0.013918864
315264:6616,04/27/18 02:45:32,230,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.041423922,0.039703388
315265:6616,04/27/18 04:20:05,55,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.009321253,0.006454507
315267:6616,04/27/18 04:59:11,244,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.038218765,0.037143311
315270:6616,04/27/18 06:44:15,633,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.080764583,0.078981117
315322:6617,04/27/18 14:41:34,1329,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.184274144,0.180062920
315339:6618,04/28/18 03:06:24,618,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.095692137,0.093349061
315357:6620,04/28/18 19:32:25,776,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.155879642,0.151930725
315361:6621,04/29/18 03:17:57,580,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.122496652,0.118531849
315363:6621,04/29/18 07:08:34,86,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.014901515,0.014489096
315366:6621,04/29/18 08:43:30,736,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.101760562,0.100182760
315420:6624,04/29/18 23:54:09,1707,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.264161506,0.258566396
315488:6628,04/30/18 19:08:38,802,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.097905542,0.095281533
315489:6628,05/01/18 02:09:59,691,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.052620451,0.051719095
315490:6628,05/01/18 06:53:23,24,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.001277223,0.001260497
315506:6629,05/01/18 10:08:39,88,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.014725226,0.013991579
315510:6629,05/01/18 11:10:29,345,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.053406121,0.051586164
315512:6629,05/01/18 13:27:08,1122,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.120652218,0.118435700
315543:6633,05/02/18 04:09:49,117,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.018930237,0.018443134
315555:6636,05/02/18 09:42:48,76,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.012171813,0.010984441
315556:6636,05/02/18 10:15:53,26,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.004488170,0.004197594
315557:6636,05/02/18 10:30:09,279,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.043136165,0.042067197
315640:6638,05/02/18 21:31:41,42,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.007462404,0.005256243
315641:6638,05/02/18 21:56:12,4,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.001524398,0.001237309
315642:6638,05/02/18 22:03:16,92,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.016357389,0.015715549
315644:6638,05/02/18 22:42:00,184,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.032393047,0.031579842
315645:6638,05/02/18 23:58:43,583,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.082503699,0.080545276
315646:6638,05/03/18 03:51:56,1033,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.097722691,0.095982220
315647:6638,05/03/18 10:38:46,58,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.004333764,0.004009096
315648:6638,05/03/18 11:04:01,110,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.007756863,0.007613069
315689:6639,05/03/18 14:58:22,1111,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.169642777,0.164979419
315690:6639,05/03/18 22:39:08,645,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.060581269,0.059500966
315702:6640,05/04/18 08:08:15,76,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.012300142,0.011426553
315703:6640,05/04/18 08:40:27,545,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.081795163,0.079081010
315704:6640,05/04/18 12:15:58,61,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.007583530,0.007369507
315705:6640,05/04/18 12:42:46,700,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.067534925,0.066407390
315713:6641,05/04/18 19:35:25,1061,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.182875727,0.176867352
315721:6642,05/05/18 05:08:14,589,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.109257965,0.105289585
315741:6643,05/05/18 11:57:43,59,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.012608855,0.011858625
315764:6645,05/05/18 15:48:29,273,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.059552661,0.057005577
315770:6646,05/06/18 02:20:23,294,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.063108046,0.060898094
315784:6648,05/06/18 11:07:00,126,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.026857129,0.025899917
315785:6648,05/06/18 12:23:07,303,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.054706486,0.053001669
315786:6648,05/06/18 14:25:10,72,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.011359196,0.010924071
315790:6648,05/06/18 18:12:51,921,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.088439676,0.086561790
315800:6650,05/07/18 06:55:20,581,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.106567771,0.103107701
315801:6650,05/07/18 10:57:12,344,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.050569090,0.049267302
315840:6654,05/07/18 21:19:16,1122,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.182219711,0.177055734
315973:6659,05/08/18 23:33:11,855,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15,0.142969500,0.139293096
315974:6659,05/09/18 05:17:09,71,HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v16,0.009540091,0.009266103
